channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,is_new,is_live
1,DIS-E,1,Big City Greens,2:00 PM,2:30 PM,False,False
1,DIS-E,2,Big City Greens,2:30 PM,3:00 PM,False,False
1,DIS-E,3,Kiff,3:00 PM,3:30 PM,False,False
1,DIS-E,4,Kiff,3:30 PM,4:00 PM,False,False
2,DISNEYJR,1,Disney's Mickey Mouse Clubhouse,2:00 PM,2:25 PM,False,False
2,DISNEYJR,2,Bluey,2:25 PM,2:50 PM,False,False
2,DISNEYJR,3,Bluey,2:50 PM,3:15 PM,False,False
2,DISNEYJR,4,Mickey and the Roadster Racers,3:15 PM,3:40 PM,False,False
2,DISNEYJR,5,Mickey and the Roadster Racers,3:40 PM,4:05 PM,False,False
3,DISNEYXD,1,DuckTales,2:00 PM,2:30 PM,False,False
3,DISNEYXD,2,DuckTales,2:30 PM,3:00 PM,False,False
3,DISNEYXD,3,Amphibia,3:00 PM,3:30 PM,False,False
3,DISNEYXD,4,Amphibia,3:30 PM,4:00 PM,False,False
4,NICKJR,1,PAW Patrol,1:39 PM,2:04 PM,False,False
4,NICKJR,2,PAW Patrol,2:04 PM,2:28 PM,False,False
4,NICKJR,3,Rubble & Crew,2:28 PM,2:52 PM,False,False
4,NICKJR,4,Rubble & Crew,2:52 PM,3:17 PM,False,False
4,NICKJR,5,PAW Patrol,3:17 PM,3:41 PM,False,False
4,NICKJR,6,PAW Patrol,3:41 PM,4:05 PM,False,False
5,NTOON,1,SpongeBob SquarePants,1:50 PM,2:15 PM,False,False
5,NTOON,2,SpongeBob SquarePants,2:15 PM,2:30 PM,False,False
5,NTOON,3,SpongeBob SquarePants,2:30 PM,2:55 PM,False,False
5,NTOON,4,SpongeBob SquarePants,2:55 PM,3:20 PM,False,False
5,NTOON,5,SpongeBob SquarePants,3:20 PM,3:45 PM,False,False
5,NTOON,6,,,,False,False
6,TEENNCK,1,The Loud House,1:48 PM,2:12 PM,False,False
6,TEENNCK,2,The Loud House,2:12 PM,2:36 PM,False,False
6,TEENNCK,3,The Loud House,2:36 PM,3:00 PM,False,False
6,TEENNCK,4,The Loud House,3:00 PM,3:24 PM,False,False
6,TEENNCK,5,The Loud House,3:24 PM,3:48 PM,False,False
6,TEENNCK,6,The Loud House,3:48 PM,4:12 PM,False,False
